Distance_(pixels);GVMalha_Controle;GVMalha_OMO;GVMalha_Vanish;GVMalha_Sabão;GVMalha_Cândida
32;19.536.667;19.259.334;18.821.333;18.988.666;20.667.778
33;19.447.333;19.092.667;18.850.000;19.158.665;20.673.111
34;19.182.001;19.311.334;18.980.667;19.117.999;20.708.444
35;19.088.667;19.382.001;19.084.666;18.815.334;20.769.778
36;19.197.333;19.275.334;19.123.334;18.848.666;20.757.777
37;19.279.333;19.436.000;19.100.667;18.900.667;20.654.445
38;19.234.000;19.452.000;19.028.223;18.737.999;20.609.778
39;19.229.333;19.483.334;19.095.557;18.776.666;20.665.778
40;19.575.999;19.259.334;19.084.222;18.819.333;20.674.445
41;19.566.000;19.153.334;19.023.557;19.007.111;20.701.111
42;19.402.000;19.094.000;18.916.223;19.022.444;20.783.112
43;19.220.667;19.190.668;18.830.890;18.820.444;20.788.445
44;19.141.333;19.180.223;18.796.889;18.848.444;20.729.778
45;19.209.334;19.310.223;18.832.889;18.829.778;20.751.778
46;19.240.666;19.378.223;18.836.890;18.902.444;20.799.777
47;19.175.333;19.520.889;18.855.556;18.733.110;20.876.445
48;19.549.333;19.400.890;18.824.445;18.670.444;20.868.445
49;19.560.667;19.321.556;18.782.445;18.755.777;20.801.778
50;19.339.333;19.208.890;18.847.334;18.845.778;20.763.777
51;19.163.333;19.236.890;18.904.668;18.828.444;20.718.445
52;19.066.667;19.306.889;19.020.000;18.945.111;20.665.778
53;19.247.333;19.369.556;19.056.445;18.959.111;20.663.110
54;19.230.667;19.364.890;19.029.111;18.933.110;20.670.444
55;18.996.001;19.387.556;18.923.334;18.903.111;20.717.778
56;19.346.666;19.355.556;18.805.112;18.837.111;20.793.777
57;19.612.666;19.417.555;18.774.445;18.780.666;20.756.444
58;19.402.000;19.238.223;18.795.111;18.786.667;20.837.111
59;18.990.666;19.030.890;18.804.445;18.653.999;20.843.111
60;19.078.667;19.141.556;18.851.334;18.962.000;20.748.445
61;19.258.000;19.274.223;18.790.001;19.043.333;20.774.445
62;19.184.000;19.379.556;18.826.666;18.970.667;20.748.445
63;18.986.667;19.210.889;18.891.333;18.998.666;20.685.777
64;19.297.333;19.154.222;18.924.889;18.908.667;20.661.111
65;19.660.667;19.142.889;18.910.889;18.779.333;20.607.777
66;19.525.999;19.222.890;18.922.000;18.816.666;20.583.112
67;19.086.000;19.062.222;18.907.333;18.809.332;20.607.111
68;19.212.000;18.950.223;18.820.000;18.903.333;20.645.111
69;19.402.667;19.303.555;18.802.000;18.866.000;20.697.112
70;19.421.333;19.479.556;18.764.000;18.998.666;20.759.111
71;19.229.333;19.568.222;18.767.334;18.895.332;20.835.777
72;19.303.334;19.326.889;18.797.333;18.917.332;20.761.778
73;19.600.000;19.164.223;18.804.666;18.929.778;20.653.111
74;19.528.000;19.160.889;18.800.223;18.873.778;20.618.445
75;19.219.333;19.118.889;18.820.889;18.721.777;20.635.110
76;19.240.666;18.946.445;18.896.001;18.659.778;20.605.112
77;19.480.000;19.076.445;18.886.000;18.797.777;20.520.444
78;19.347.333;19.279.112;18.796.001;18.853.111;20.503.778
79;19.084.000;19.581.778;18.701.334;18.828.444;20.501.111
80;19.227.333;19.280.444;18.628.667;18.764.444;20.450.444
81;19.411.333;19.218.445;18.602.000;18.854.443;20.438.445
82;19.277.333;19.207.777;18.658.667;18.997.777;20.633.778
83;19.225.999;19.237.111;18.668.666;18.850.444;20.644.444
84;19.270.667;19.055.779;18.660.667;18.823.778;20.693.111
85;19.338.667;19.081.111;18.676.666;18.729.778;20.587.778
86;19.410.001;19.294.444;18.708.667;18.680.444;20.582.445
87;19.206.667;19.579.112;18.725.333;18.807.111;20.641.777
88;19.092.667;19.358.444;18.740.666;18.858.444;20.739.111
89;19.456.667;19.157.112;18.764.667;18.725.333;20.663.777
