Grupos,Valores de Cinza
Vanish_1,165.91
Vanish_1,166.12
Vanish_1,162.56
Vanish_1,160.68
Vanish_1,162.26
Vanish_1,166.79
Vanish_1,167.14
Vanish_1,165.51
Vanish_1,160.8
Vanish_1,159.72
Vanish_1,163.15
Vanish_1,164.34
Vanish_1,163.87
Vanish_1,161.82
Vanish_1,160.38
Vanish_1,162.93
Vanish_1,164.07
Vanish_1,164.01
Vanish_1,164.48
Vanish_1,163.57
Vanish_1,161.06
Vanish_1,163.91
Vanish_1,164.65
Vanish_1,164.01
Vanish_1,162.39
Vanish_1,160.36
Vanish_1,161.35
Vanish_1,162.96
Vanish_1,163.56
Vanish_1,163.39
Vanish_1,163.23
Vanish_1,163.57
Vanish_1,161.76
Vanish_1,161.87
Vanish_1,163.04
Vanish_1,162.73
Vanish_1,162.68
Vanish_1,165.23
Vanish_1,164.5
Vanish_1,165.96
Vanish_1,163.98
Vanish_1,163.14
Vanish_1,162.58
Vanish_1,161.73
Vanish_1,162.75
Vanish_1,163.73
Vanish_1,162.57
Vanish_1,162.33
Vanish_1,162.78
Vanish_1,163.07
Vanish_1,163.76
Vanish_1,163.89
Vanish_1,163.32
Vanish_1,163.99
Vanish_1,163.95
Vanish_1,165.65
Vanish_1,164.19
Vanish_1,161.83
Vanish_1,162.29
Vanish_1,164.99
Vanish_1,166.94
Vanish_1,168.01
Vanish_1,165.05
Vanish_1,164.13
Vanish_1,163.69
Vanish_1,165.45
Vanish_1,166.35
Vanish_1,166.89
Vanish_1,166.81
Vanish_1,165.13
Vanish_1,164.29
Vanish_1,166.27
Vanish_1,166.74
Vanish_1,165.01
Vanish_1,165.56
Vanish_1,164.3
Vanish_1,163.49
Vanish_1,163.69
Vanish_1,163.69
Vanish_1,164.09
Vanish_1,163.8
Vanish_1,163.15
Vanish_1,166.43
Vanish_1,169.3
Vanish_1,166.94
Vanish_1,166.17
Vanish_1,162.93
Vanish_1,163.33
Vanish_1,166.64
Vanish_1,168.06
Vanish_1,165.31
Vanish_1,164.05
Vanish_1,164.49
Vanish_1,166.8
Vanish_1,166.67
Vanish_1,166.71
Vanish_1,166.03
Vanish_1,164.24
Vanish_1,164.32
Vanish_1,161.77
Vanish_1,161.59
Vanish_1,163.66
Vanish_1,162.45
Vanish_1,163.05
Vanish_1,164.52
Vanish_1,165.24
Vanish_1,165.65
Vanish_1,164.39
Vanish_1,165.43
Vanish_1,166.36
Vanish_1,165.5
Vanish_1,165.97
Vanish_1,165.48
Vanish_1,164.47
Vanish_1,165.45
Vanish_1,165.93
Vanish_1,164.68
Vanish_1,163.39
Vanish_1,161.97
Vanish_1,164.13
Vanish_1,164.68
Vanish_1,165.91
Vanish_1,165.04
Vanish_1,163.97
Vanish_1,162.76
Vanish_1,163.43
Vanish_1,164.17
Vanish_1,166.21
Vanish_1,166.4
Vanish_1,165.79
Vanish_1,164.35
Vanish_1,162.96
Vanish_1,162.32
Sabao em barra_1,167.53
Sabao em barra_1,165.58
Sabao em barra_1,167.1
