Grupos,Valores de Cinza
Vanish_2,179.46
Vanish_2,180.22
Vanish_2,181.87
Vanish_2,183.17
Vanish_2,181.84
Vanish_2,181.62
Vanish_2,181.25
Vanish_2,181.36
Vanish_2,181.08
Vanish_2,181.76
Vanish_2,181.77
Vanish_2,183.83
Vanish_2,182.64
Vanish_2,181.98
Vanish_2,180.39
Vanish_2,179.42
Vanish_2,179.35
Vanish_2,179.36
Vanish_2,180.6
Vanish_2,182.06
Vanish_2,181.92
Vanish_2,182.23
Vanish_2,181.12
Vanish_2,180.9
Vanish_2,180.74
Vanish_2,180.5
Vanish_2,180.65
Vanish_2,181.64
Vanish_2,181.04
Vanish_2,181.36
Vanish_2,181.11
Vanish_2,180.85
Vanish_2,181.49
Vanish_2,181.16
Vanish_2,180.91
Vanish_2,182.56
Vanish_2,181.7
Vanish_2,182.17
Vanish_2,181.9
Vanish_2,181.52
Vanish_2,180.34
Vanish_2,180.47
Vanish_2,180.61
Vanish_2,181.82
Vanish_2,182.54
Vanish_2,182.2
Vanish_2,182.36
Vanish_2,182.01
Vanish_2,181.54
Vanish_2,182.2
Vanish_2,181.26
Vanish_2,180.97
Vanish_2,180.39
Vanish_2,180.46
Vanish_2,180.74
Vanish_2,181.54
Vanish_2,181.69
Vanish_2,182.66
Vanish_2,182.28
Vanish_2,183.24
Vanish_2,182.97
Vanish_2,182.79
Vanish_2,183.64
Vanish_2,182.54
Vanish_2,182.9
Vanish_2,183.23
Vanish_2,183.08
Vanish_2,184.02
Vanish_2,182.92
Vanish_2,184.35
Vanish_2,183.12
Vanish_2,183.99
Vanish_2,184.85
Vanish_2,184.53
Vanish_2,184.2
Vanish_2,185.98
Vanish_2,185.72
Vanish_2,186.71
Vanish_2,185.74
Vanish_2,184.91
Vanish_2,185.17
Vanish_2,184.67
Vanish_2,184.74
Vanish_2,185.66
Vanish_2,184.81
Vanish_2,185.22
Vanish_2,184.37
Vanish_2,184.59
Vanish_2,184.6
Vanish_2,185.11
Vanish_2,184.5
Vanish_2,186.13
Vanish_2,185.85
Vanish_2,186
Vanish_2,185.28
Vanish_2,184.38
Vanish_2,183.96
Vanish_2,183.44
Vanish_2,183.06
Vanish_2,184.51
Vanish_2,184.08
Vanish_2,184.96
Vanish_2,185.64
Vanish_2,185.6
Vanish_2,185.13
Vanish_2,184.67
Vanish_2,184.72
Vanish_2,184.43
Vanish_2,183.72
Vanish_2,183.58
Vanish_2,183.86
Vanish_2,183.69
Vanish_2,184.15
Vanish_2,184.82
Vanish_2,183.98
Vanish_2,184.92
Vanish_2,185.07
Vanish_2,186.41
Vanish_2,185.64
Vanish_2,184.56
Vanish_2,185.55
