Grupos,Controle_2
Omo_2,170.66
Omo_2,169.79
Omo_2,170.05
Omo_2,170.01
Omo_2,170.28
Omo_2,169.67
Omo_2,170.24
Omo_2,170.58
Omo_2,171.65
Omo_2,172.10
Omo_2,172.73
Omo_2,171.55
Omo_2,171.43
Omo_2,170.51
Omo_2,169.84
Omo_2,169.06
Omo_2,170.34
Omo_2,170.48
Omo_2,170.80
Omo_2,171.13
Omo_2,171.54
Omo_2,171.59
Omo_2,172.00
Omo_2,171.21
Omo_2,171.93
Omo_2,172.13
Omo_2,170.86
Omo_2,170.47
Omo_2,170.72
Omo_2,171.02
Omo_2,171.59
Omo_2,171.92
Omo_2,172.31
Omo_2,171.69
Omo_2,170.57
Omo_2,170.92
Omo_2,170.59
Omo_2,170.56
Omo_2,171.03
Omo_2,170.22
Omo_2,171.24
Omo_2,171.90
Omo_2,171.66
Omo_2,172.06
Omo_2,172.70
Omo_2,172.25
Omo_2,171.93
Omo_2,170.52
Omo_2,170.58
Omo_2,170.44
Omo_2,171.10
Omo_2,171.77
Omo_2,171.21
Omo_2,171.53
Omo_2,172.17
Omo_2,171.57
Omo_2,172.80
Omo_2,172.35
Omo_2,171.47
Omo_2,171.03
Omo_2,170.19
Omo_2,170.65
Omo_2,171.76
Omo_2,171.29
Omo_2,171.85
Omo_2,170.84
Omo_2,171.62
Omo_2,171.45
Omo_2,172.11
Omo_2,171.61
Omo_2,171.88
Omo_2,171.38
Omo_2,172.58
Omo_2,172.80
Omo_2,173.18
Omo_2,173.22
Omo_2,173.40
Omo_2,173.11
Omo_2,172.77
Omo_2,172.27
Omo_2,172.87
Omo_2,172.39
Omo_2,171.81
Omo_2,172.39
Omo_2,172.79
Omo_2,172.50
Omo_2,172.54
Omo_2,172.28
Omo_2,173.15
Omo_2,173.39
Omo_2,173.49
Omo_2,174.28
Omo_2,174.33
Omo_2,173.92
Omo_2,173.93
Omo_2,173.52
Omo_2,174.26
Omo_2,173.56
Omo_2,173.01
Omo_2,173.55
Omo_2,174.28
Omo_2,174.75
Omo_2,174.69
Omo_2,174.46
Omo_2,175.91
Omo_2,175.42
Omo_2,175.51
Omo_2,175.53
Omo_2,174.84
Omo_2,173.93
Omo_2,174.92
Omo_2,174.72
Omo_2,175.71
Omo_2,175.21
Omo_2,174.57
Omo_2,174.70
Omo_2,175.00
Omo_2,175.01
Omo_2,175.05
Omo_2,173.61
Omo_2,172.97
Omo_2,174.01
Omo_2,174.71
Omo_2,175.14
Omo_2,174.60
Omo_2,174.45
Omo_2,173.87
Omo_2,173.69
Omo_2,174.02
Omo_2,175.09
Omo_2,175.34
Omo_2,174.61
Omo_2,174.34
Omo_2,174.32
Omo_2,175.04
Omo_2,174.83
Omo_2,174.72
Omo_2,173.92
Omo_2,173.34
Omo_2,173.74
Omo_2,175.58
Omo_2,175.37
Omo_2,174.92
Omo_2,173.76
Omo_2,174.71
Omo_2,174.05
Omo_2,173.68
Omo_2,173.58
Omo_2,174.77
Omo_2,175.46
Omo_2,175.60
Omo_2,174.44
Omo_2,175.31
Omo_2,174.14
Omo_2,173.07
Omo_2,173.86
Omo_2,174.07
Omo_2,173.69
Omo_2,173.77
Omo_2,173.60
Omo_2,174.88
Omo_2,175.89
Omo_2,176.49
Omo_2,175.93
Omo_2,175.34
Omo_2,174.82
Omo_2,175.43
Omo_2,174.33
Omo_2,175.32
Omo_2,176.03
Omo_2,175.52
Omo_2,174.80
Omo_2,174.81
Omo_2,175.83
Omo_2,176.01
Omo_2,174.91
Omo_2,175.68
Omo_2,175.16
Omo_2,175.48
Omo_2,176.66
Omo_2,176.91
Omo_2,176.58
Omo_2,176.09
Omo_2,174.46
Omo_2,176.22
Omo_2,176.32
Omo_2,175.62
Omo_2,175.82
Omo_2,176.67
Omo_2,177.52
Omo_2,177.32
Omo_2,176.41
Omo_2,176.23
Omo_2,175.97
Omo_2,175.55
Omo_2,174.93
Omo_2,174.97
Omo_2,175.06
Omo_2,176.10
Omo_2,175.47
Omo_2,175.79
Omo_2,176.79
Omo_2,177.31
Omo_2,177.73
Omo_2,177.08
Omo_2,176.25
Omo_2,176.32
Omo_2,176.04
Omo_2,175.98
Omo_2,176.77
